X,Y
-0.990000,0.000000
0.980100,-0.000000
0.490100,-0.865853
-0.504949,-0.857450
0.984951,0.008575
0.999850,-0.000086
0.999998,0.000001
0.490000,0.866025
0.500050,0.865939
0.499999,0.866025
0.485000,-0.857365
-0.490000,0.848878
-0.994900,-0.008489
-0.490099,-0.866024
-0.485050,0.857279
-0.994850,-0.008573
0.500048,-0.848792
-0.490149,0.848791
0.504801,0.857364
-0.984952,-0.008574
-0.490149,-0.865938
-0.500048,-0.865940
0.490001,0.848705
-0.490100,-0.848878
-0.499901,-0.865854
0.985001,0.008659
0.490150,0.865939
0.485050,-0.857280
0.499999,-0.865852
-0.985000,0.008659
0.500000,0.848878
-0.490149,-0.848791
0.985099,0.008488
-0.499999,0.848876
0.490149,-0.848791
-0.504801,-0.857364
0.984952,0.008574
0.490001,-0.865852
0.500048,-0.865938
0.485001,0.857366
-0.985150,-0.008574
0.499851,0.848791
0.485150,-0.857450
0.485149,0.857279
-0.504850,0.857450
-0.485050,-0.857450
-0.500000,-0.865853
0.985000,0.008659
0.490000,-0.865852
0.485051,0.857279
0.485150,-0.857279
-0.504850,-0.857450
0.984951,0.008575
-0.499851,-0.848792
-0.485150,0.857450
0.490000,-0.848876
0.499901,-0.865853
-0.504998,-0.857365
0.504950,-0.857279
-0.984951,0.008573
0.499999,0.848878
-0.985000,-0.008489
-0.999850,0.000085
0.499999,-0.848706
-0.504850,-0.857279
-0.485051,0.857451
0.504851,0.857452
-0.984951,-0.008575
-0.490150,-0.865938
0.504950,-0.857450
0.485050,0.857451
0.485149,-0.857279
-0.504850,-0.857450
0.504950,-0.857280
0.995049,0.008573
0.999950,-0.000086
0.490000,0.866025
0.500050,0.865939
0.485001,-0.857366
0.500000,-0.865852
-0.504999,-0.857364
-0.499900,-0.866025
-0.485001,0.857364
0.490000,-0.848878
-0.490099,0.848877
-0.485198,-0.857365
-0.499999,-0.865854
-0.485001,0.857366
-0.485150,-0.857279
-0.994851,0.008573
-0.490100,0.866024
0.504950,0.857451
-0.504950,0.857279
0.984950,-0.008573
0.999850,0.000086
-0.500000,0.848707
0.490150,-0.848791
0.994901,0.008488
-0.500048,0.848791
-0.485149,-0.857452
